Section Name,Item Name,List Price,Description
Handmade Tenders,63666536,3 Piece Tenders Mix,25,3 piece tenders + cajun fries + 1 sauce + 1 biscuit
Wings,63665372,12 Pcs Wings,52,"Pick 12 pcs wings up to 2 flavors - classic, honey bbq, garlic"
Wings,63665383,5 Pcs Glazed Wings Meal,30,"Pick 5pcs wings from honey bbq, garlic + fries + drink"
Wings,63665396,5 Pcs Wings Meal,30,5 pcs wings + cajun fries + soft drink + 1 sauce
Wings,63665429,3 Pcs Glazed Wings,13,"Pick from honey bbq, garlic"
Wings,63665447,3 Pcs Glazed Wings Meal,24,"Pick 3 pcs wings from honey bbq, garlic fries + drink"
Wings,63665468,3 Pcs Wings + Sauce,14,3pcs wings + sauce
Wings,63665484,3 Pcs Wings Meal,24,3 pcs wings + cajun fries + soft drink + 1 sauce
Mega Wraps Offer,1222330,2 Mega Wraps,26,2 mega wraps
Family Meals,63666976,21 Pieces Chicken Classic,171,21 pieces chicken + family cajun fries + large coleslaw + 7 biscuits + 2.25l soft drink
Family Meals,63667021,21 Pieces Chicken Spicy,171,21 pieces chicken + family cajun fries + large coleslaw + 7 biscuits + 2.25l soft drink
Family Meals,63667079,21 Pieces Chicken Mix,171,21 pieces chicken + family cajun fries + large coleslaw + 7 biscuits + 2.25l soft drink
Family Meals,63667161,15 Pieces Chicken Classic,136,15 pieces chicken + family cajun fries + large coleslaw + 5 biscuits + 2.25l soft drink
Family Meals,63667247,15 Pieces Chicken Spicy,136,15 pieces chicken + family cajun fries + large coleslaw + 5 biscuits + 2.25l soft drink
Family Meals,63667349,15 Pieces Chicken Mix,136,15 pieces chicken + family cajun fries + large coleslaw + 5 biscuits + 2.25l soft drink
Family Meals,63667434,9 Pieces Chicken Classic,94,9 pieces chicken + family cajun fries + large coleslaw + 3 biscuits + 1l soft drink
Family Meals,63667496,9 Pieces Chicken Spicy,94,9 pieces chicken + family cajun fries + large coleslaw + 3 biscuits + 1l soft drink
Family Meals,63667558,9 Pieces Chicken Mix,94,9 pieces chicken + family cajun fries + large coleslaw + 3 biscuits + 1l soft drink
Family Meals,63667612,15 Piece Tenders Classic,99,15 piece tenders + family cajun fries + large coleslaw + 3 biscuits + 3 sauces + 1l soft drink
Family Meals,63667664,15 Piece Tenders Spicy,99,15 piece tenders + family cajun fries + large coleslaw + 3 biscuits + 3 sauces + 1l soft drink
Family Meals,63667710,15 Piece Tenders Mix,99,15 piece tenders + family cajun fries + large coleslaw + 3 biscuits + 3 sauces + 1l soft drink
Kids Meals,63667913,Chicken Bites   Kids Meal,19,Chicken bites + cajun fries + drink
Kids Meals,63667920,2 Piece Tenders   Kids Meal,19,2 piece tenders + cajun fries + drink
Kids Meals,63667931,Mini Wrap Meal,19,Small wrap + cajun fries + drink
Sides,63667762,Cheesy Fries,12,Cajun fries with delicious cheese
Sides,63667768,Chicken Bites Large,19,"Bite sized, 100% fresh chicken, 12 hour marinated, hand-battered and hand-breaded with buttermilk for our best ever shatter crunch."
Sides,63667772,Chicken Bites Regular,15,"Bite sized, 100% fresh chicken, 12 hour marinated, hand-battered and hand-breaded with buttermilk for our best ever shatter crunch."
Sides,63667775,Cajun Fries   Family,20,Our signature cajun fries
Sides,63667779,Cajun Fries   Large,14,Our signature cajun fries
Sides,63667784,Cajun Fries Regular,10,Our signature cajun fries
Sides,63667792,Lg Cole Slaw,16,Lg cole slaw
Sides,63667797,Rg Cole Slaw,10,Rg cole slaw
Sides,63667802,Mashed Potato Large,16,Creamy mash served with our famous cajun gravy
Sides,63667805,Mashed Potato Regular,10,Creamy mash served with our famous cajun gravy
Sides,63667809,Buttermilk Biscuit   1 Piece,4,"Our signature flaky, buttermilk biscuit"
Sides,63667818,Buttermilk Biscuit   6 Pieces,20,"Our signature flaky, buttermilk biscuit"
Sides,63667821,Mini Wrap,10,Small wrap with 100% fresh saudi chicken tender
Sides,63667828,Mini Wrap Spicy,10,Small wrap with 100% fresh saudi chicken tender
Sauces,63667832,Bold Bbq Sauce,3,
Sauces,63667835,Spicy Mayo,3,
Sauces,63667843,Ranch Sause,3,
Sauces,63667850,Buffalo Sauce,3,
Sauces,63667859,Garlic Sauce,3,
Sauces,63667861,Cheese Sause,4,
Sauces,63667907,Large Cheese Sauce,12,
Drinks,63667933,Pepsi   Can,7,
Drinks,63667934,7 Up   Can,7,
Drinks,63667936,Bottle Water 500 Ml,3,
Drinks,63667941,Can Dit Pepsi,7,
Desserts,63667943,Chocolate Biscuit 1 Piece,6,"Our signature flaky, buttermilk biscuit covered in a rich chocolate sauce"
Desserts,63667946,Choco Biscuit 6 Pc,32,"Our signature flaky, buttermilk biscuit covered in a rich chocolate sauce"
