source,date,apiURL,url,sku,name,brand,price,stock,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=8-9-years,114203819,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 8-9 years",Reiss,25.00,Y,,,,Navy/White,8-9 years,,5063458514609,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£25.00,25.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=9-10-years,114203820,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 9-10 years",Reiss,29.00,Y,,,,Navy/White,9-10 years,,5063458514715,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£29.00,29.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=10-11-years,114203821,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 10-11 years",Reiss,29.00,Y,,,,Navy/White,10-11 years,,5063458514722,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£29.00,29.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=11-12-years,114203822,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 11-12 years",Reiss,29.00,Y,,,,Navy/White,11-12 years,,5063458514739,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£29.00,29.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=12-13-years,114203823,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 12-13 years",Reiss,29.00,Y,,,,Navy/White,12-13 years,,5063458514746,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£29.00,29.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=13-14-years,114203824,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 13-14 years",Reiss,31.00,Y,,,,Navy/White,13-14 years,,5063458514067,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£31.00,31.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?113999922,https://www.johnlewis.com/bertazzoni-modern-series-cm45mod2wtb-45cm-built-in-coffee-machine-black-glass/p113999922,113912637,"Bertazzoni Modern Series CM45MOD2WTB 45cm Built-in Coffee Machine, Black Glass",Bertazzoni,2499.00,Y,,,,Black Glass,,,8050246540923,Homepage,Electricals,Coffee Machines,View All Coffee Machines,,,2 year guarantee included,https://media.johnlewiscontent.com/i/JohnLewis/113912637,https://media.johnlewiscontent.com/i/JohnLewis/113912637alt1,https://media.johnlewiscontent.com/i/JohnLewis/113912637alt2,https://media.johnlewiscontent.com/i/JohnLewis/113912637alt3,https://media.johnlewiscontent.com/i/JohnLewis/113912637alt9,"A perfect blend of technology and design, Bertazzoni’s coffee machine is designed to deliver a superior experience right in your home. With 13 available beverages, you can choose from a bold Espresso, a well-balanced Americano, or specialties like Cappuccino, Caffè Doppio, and Espresso Macchiato—perfectly catering to every preference. The versatile dual coffee system supports both coffee beans and ground coffee, ensuring maximum flexibility in preparation. Thanks to the cup-warming function, every beverage is served at the ideal temperature, enhancing its rich aromas. For milk-based drink lovers, the professional-grade milk frother creates a dense, creamy foam—ideal for barista-quality cappuccinos. And for those who prefer a different kind of break, the dedicated hot water dispenser allows for effortless preparation of tea, infusions, and other hot beverages. The elegant 4.3"" full-touch TFT display offers an intuitive interface with crisp graphics and responsive controls, ensuring quick and precise selection. All of this is wrapped in a refined black glass finish, perfectly complementing the most modern kitchens.",,,,,,,,,"£2,499.00",2499.00,specification,Guarantee,2 year guarantee included,specification,Removable Reservoir,Yes,specification,Cup Warmer,Yes,specification,Country of Origin,Italy,specification,Professional Installation Recommended,Yes - Electrician,specification,Types Of Drink Produced,"Americano, Barista Espresso, Caffè Latte, Cappuccino, Coffee, Doppio, Double Shot, Espresso, Espresso Macchiato, Hot Chocolate, Hot Milk, Hot Water, Milk Froth, Tea",specification,Cable length,1.7m,specification,Automatic or Manual,Automatic,specification,Milk Functionality,Automatic,specification,Maximum Appliance Depth,481.0cm,specification,Filter Included,Filter Included,specification,Brand,Bertazzoni,specification,Power,1350.00W,specification,Cordless,Corded,specification,Care instructions,Wipe clean soapy warm water. No harsh chemicals or abrasive materials.,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?112629966,https://www.johnlewis.com/raymond-weil-mens-millesime-39-5-automatic-leather-strap-watch-silver-rose/p112629966,112629874,"Raymond Weil Men's Millesime 39.5 Automatic Leather Strap Watch, Silver/Rose",Raymond Weil,1475.00,Y,,,,Silver,,,7611784052852,Homepage,Men,Men's Watches,,,,2 year guarantee included,https://media.johnlewiscontent.com/i/JohnLewis/112629874,https://media.johnlewiscontent.com/i/JohnLewis/112629874alt1,https://media.johnlewiscontent.com/i/JohnLewis/112629874alt2,,,"For this inaugural Millesime collection, RAYMOND WEIL pays homage to the rich heritage and traditions of horology while celebrating the simplicity of refined design. Millesime timepieces offer a period charm combined with present-day practicality. The salmon dial, located beneath a vintage-inspired sapphire crystal glass box, has been refined to the highest degree. The hours and minutes are eloquently conveyed with black hands, lined with Super-LumiNova®. The sector dial presents the hours, minutes and seconds periods on discrete tracks, augmenting readability. A closer inspection of the dial reveals contrasting finishes, the hour track is smooth, the minute track is snailed and the central area of the dial is adorned with a delicate vertical brush. The bezel is decorated with a vertical satin brush that contrasts wonderfully with the highly polished bevel nearby. This juxtaposition of two finishes reinforces the overall level of finishing. A sapphire caseback affords sight of the self-winding movement within and the “W-shaped” oscillating weight, RAYMOND WEIL’s horological signature. Offered in a selection of dial colours, each model is paired with a colour-coordinating genuine calf leather strap with a unique W-stitched detail. As the name suggests, the collection is a grand vintage interpretation of the RAYMOND WEIL brand. If you would like to return this product, you will need to take it back to the Jewellery & Watch department in one of our John Lewis Branches. Only once the product has been verified and authenticated will a return be authorised.",,,,,,,,,"£1,475.00",1475.00,specification,Guarantee,2 year guarantee included,specification,Movement,Automatic or self-winding,specification,Country of Origin,Switzerland,specification,Shape,Round,specification,Water Resistant,50 m,specification,Watch Type,Classic,specification,Strap Material,Leather,specification,NFC Enabled,No,specification,Brand,Raymond Weil,specification,Care instructions,"Keep your watch clean with a soft dry cloth. Avoid contact with perfumes, spirits or petroleum products as these may damage seals, straps or case/bracelet. Ensure that the crown, which is used to change the hands/date, is properly pushed in and/or screwed at all times. If your watch has a leather strap do not wear it too tightly fastened or expose it to water, unless the strap is water resistant. For full care instructions, maintenance and tips see the manufacturers website.",specification,Manufacturer's Warranty,2 years,specification,Bracelet Type,Strap,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?3641636,https://www.johnlewis.com/mac-239s-eye-shader-brush/p3641636,237551878,MAC 239S Eye Shader Brush,MAC,17.85,Y,21.00,Y,Save 15%,,,773602470822,,Homepage,Beauty,Makeup Accessories,,,,,https://media.johnlewiscontent.com/i/JohnLewis/237551878,https://media.johnlewiscontent.com/i/JohnLewis/237551878alt2,,,,"A soft and dense brush to shade or blend eye shadow. This brush has a rounded edge with smooth, firm, fine fibres. It can be used to build and press intense colour on the lid. MAC professional brushes are hand-sculpted and assembled using the finest quality materials. Our 100% synthetic brushes incorporate the latest innovations in fibre technology for superior performance and improved longevity.",,7,5.0,,,,Y,,£17.85,17.85,specification,Brand,MAC,specification,Makeup brush type,Eyeshadow,specification,Number in pack,1,specification,Country of origin,United Kingdom,specification,Single or multipack,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?6325267,https://www.johnlewis.com/minecraft-drymee-hooded-towel-white-multi/p6325267,241132661,"Minecraft DryMee Hooded Towel, White/Multi, 7-12 years",Minecraft,22.00,Y,,,,White/Multi,,,5056197155639,Homepage,Baby & Child,Bathing & Changing,Baby Towels & Dressing Gowns,,,,https://media.johnlewiscontent.com/i/JohnLewis/241132661alt7,https://media.johnlewiscontent.com/i/JohnLewis/241132661,https://media.johnlewiscontent.com/i/JohnLewis/241132661alt2,https://media.johnlewiscontent.com/i/JohnLewis/241132661alt3,https://media.johnlewiscontent.com/i/JohnLewis/241132661alt4,"Get your game on with this Officially licensed Minecraft DRYMEE towel. Perfect for you or the Minecraft fan in your life - whether for taking on holiday or for trips to the pool, the DRYMEE has you covered. This oversized wearable hooded towel is perfect for the beach or the pool designed to keep little ones snug, warm and dry. Made from soft, lightweight, absorbent and fast-drying microfibre towelling, it is oversized to give you plenty of room and cover to change inside. Simply pull both arms inside the DRYMEE and change easily, whilst being completely covered up. Perfect for staying warm and dry after indoor or outdoor swimming, water sports, camping, or throwing on as a stylish cover-up on holiday. With 2 zipped side pockets, there's even a place to keep your belongings safe.",,11,4.8,,,,,,£22.00,22.00,specification,Brand,Minecraft,specification,Towel Type,"Kids Towel, Hooded Towel",specification,Country of Origin,China,specification,Drying Instructions,Tumble dry at low temperature,specification,Care instructions,Wash before first use | Use colour safe detergent | Wash dark colours separately | Iron on Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
